year,event_name,location,deaths,affected,damage_adj_000usd,subtype,damage_m_usd,event_label
2015,,"Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)",,134.0,67498.0,"Land fire (Brush, Bush, Pasture)",67.5,Sampson Flat city (Playford (C) district
2015,,"Wye River, Separation Creek cities (Colac-Otway (S) district, Victoria province)",,348.0,132349.0,Forest fire,132.3,Wye River
2016,Yarloop busfires,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)",2.0,540.0,143770.0,"Land fire (Brush, Bush, Pasture)",143.8,Yarloop busfires
2017,Sir Ivan fire,"New South Wales states (Dunedoo, Uarbry, Pappinbarra, Dondingalong, Kempsey, Boggabri, Narrabri, Mudgee)",,143.0,25595.0,Wildfire (General),25.6,Sir Ivan fire
2019,,Gippsland region (South-east Victoria state),,627.0,,"Land fire (Brush, Bush, Pasture)",,Gippsland region (South-east Victoria state)
2019,Currowan,"New South Wales, Queensland; Victoria; South Australia, Western Australia",32.0,8883.0,2453978.0,"Land fire (Brush, Bush, Pasture)",2454.0,Currowan
2021,,Perth region,,243.0,138918.0,"Land fire (Brush, Bush, Pasture)",138.9,Perth region
2025,,"Dimbola and Wail towns, Little Desert National Park (Shire of Hindmarshand of the Wimmera region, Victoria state)",,260.0,,Wildfire (General),,Dimbola and Wail towns
2025,,Glenlusk and Levendale (Tasmania); Markwood (Victoria); Koolewong and Bulahdelah (New South Wales),1.0,159.0,,Wildfire (General),,Glenlusk and Levendale (Tasmania); Markwood (Victoria); Koolewong and Bulahdelah (New South Wales)
2026,,Victoria (New South Wales),1.0,780.0,,Wildfire (General),,Victoria (New South Wales)
